rank,player,score,pnl,win_rate,sharpe
1,player_001,88.66,93822,65,0.96
2,player_002,86.84,702496,78,0.17
3,player_014,85.39,506774,53,0.17
4,player_004,85.19,653995,55,0.15
5,player_003,84.83,228413,59,0.16
6,player_005,84.67,204475,73,0.15
7,player_009,84.13,594761,89,0.12
8,player_006,83.76,43687,39,0.13
9,player_007,83.53,470041,55,0.10
10,player_008,83.39,52775,40,0.12
11,player_022,82.78,281536,85,0.11
12,player_024,82.31,53105,67,0.08
13,player_012,82.14,385640,60,0.04
14,player_013,81.92,171993,43,0.02
15,player_045,81.84,38174,42,0.12
16,player_015,81.63,86393,81,0.07
17,player_019,81.32,97362,55,0.01
18,player_017,81.26,41345,35,0.11
19,player_020,81.14,67540,69,0.14
20,player_018,81.12,74449,84,0.08
21,player_025,81.05,16336,53,0.11
22,player_101,81.03,97593,55,0.01
23,player_102,80.62,111767,57,0.06
24,player_021,80.21,41880,80,0.07
25,player_049,79.50,76515,55,0.03
26,player_037,79.48,18044,83,0.05
27,player_016,79.34,31194,48,0.04
28,player_035,78.64,10324,45,0.04
29,player_032,78.31,9715,55,0.03
30,player_052,78.20,56156,65,0.02
31,player_029,77.98,7898,36,0.13
32,player_026,77.93,10126,44,0.10
33,player_103,77.64,10082,44,0.10
34,player_028,77.38,29436,20,0.03
35,player_033,77.09,10090,44,0.05
36,player_023,76.62,10185,53,0.04
37,player_034,76.56,17671,58,0.10
38,player_036,75.93,5042,93,0.06
39,player_038,75.72,7875,37,0.06
40,player_040,74.38,10725,24,0.04
41,player_041,73.64,243,38,0.05
42,player_046,73.59,8366,77,0.02
43,player_042,73.39,1109,40,0.08
44,player_078,73.22,4916,50,0.03
45,me,73.04,50,53,0.09
46,player_054,72.93,1238,52,0.02
47,player_043,72.91,1799,58,0.07
48,player_065,72.46,19,62,0.06
49,player_044,71.90,974,50,0.01
50,player_104,71.63,18969,43,-0.04
51,player_071,71.31,3662,57,0.00
52,player_047,71.05,4714,74,0.00
53,player_048,70.48,9550,62,-0.09
54,player_031,70.41,2789,32,0.02
55,player_067,70.04,0,38,0.02
56,player_061,67.56,38616,100,0.16
57,player_027,67.17,7200,44,-0.04
58,player_051,66.55,259,67,0.01
59,player_056,65.41,4043,63,-0.11
60,player_055,65.23,172,76,-0.03
61,player_059,65.17,10429,100,0.12
62,player_057,64.48,1898,56,-0.09
63,player_105,63.86,12,50,-0.00
64,player_050,63.14,8361,62,0.04
65,player_060,60.54,3850,88,0.00
66,player_063,57.64,174,50,0.00
67,player_064,57.07,135,100,0.00
68,player_066,55.41,11,50,0.08
69,player_068,55.33,0,100,0.00
70,player_069,55.04,0,100,0.00
71,player_070,54.75,0,100,0.00
72,player_106,33.20,-3153,45,0.03
73,player_072,30.31,-21833,26,0.12
74,player_073,29.19,-847,59,-0.07
75,player_076,28.10,-2288,47,-0.07
76,player_075,28.02,-41260,65,0.13
77,player_080,27.23,-3270,32,-0.04
78,player_039,27.13,-2518,35,-0.11
79,player_074,27.11,-3168,35,-0.08
80,player_077,26.65,-5697,39,0.02
81,player_058,26.47,-343,87,-0.13
82,player_079,26.38,-3459,68,-0.07
83,player_090,25.50,-22619,62,0.04
84,player_088,25.50,-5423,45,-0.05
85,player_081,25.39,-3649,0,-0.10
86,player_082,25.33,-3922,62,-0.03
87,player_053,25.23,-2211,44,-0.04
88,player_086,24.96,0,43,0.00
89,player_083,24.96,0,0,0.00
90,player_087,24.96,0,0,0.00
91,player_089,24.09,-1,67,-0.04
92,player_091,23.80,-1,0,0.00
93,player_096,23.22,-12,0,-0.16
94,player_092,23.01,-6,,-0.06
95,player_093,22.64,-60,40,0.09
96,player_095,22.43,-24,,-0.05
97,player_085,22.36,-84,40,-0.01
98,player_098,22.15,-9660,27,-0.12
99,player_097,22.07,-197,42,-0.06
100,player_107,21.53,-7568,48,-0.09
101,player_100,21.49,-818,21,0.00
102,player_108,21.24,-11618,48,-0.08
103,player_109,20.91,-1911,50,-0.04
104,player_110,20.12,-19608,45,-0.14
105,player_111,19.31,-17938,56,-0.05
106,player_084,18.99,-52212,36,-0.01
107,player_099,18.12,-22338,48,-0.18
108,player_112,18.02,-4177,48,0.00
109,player_113,17.79,-33024,56,-0.06
110,player_114,17.71,-22953,40,-0.14
111,player_115,17.44,-4500,15,0.00
112,player_116,17.00,-23496,43,-0.08
